Keys,Values
q1,"your answer: Deben Li, Jiaxin Zhou, Zhijie Zhang, Ying Jiang, Zhongliang Dong, Jiayue Xu, Chunxia Yao"
q2,"your answer: School of Materials Science and Engineering, Shanghai Institute of Technology, Shanghai, China; Institute for Agro-food Standards and Testing Technology, Shanghai Academy of Agricultural Sciences, Shanghai, China."
q3,your answer: American Chemical Society (ACS)
q4,your answer: ACS Applied Energy Materials
q5,your answer: Enhanced Photocatalytic Activity for CO2 Reduction over a CsPbBr3/CoAl-LDH Composite: Insight into the S-Scheme Charge Transfer Mechanism
q6,your answer: Research article
q7,your answer: 2022
q8,your answer: Yes
q9,your answer: CsPbBr3
q10,"your answer: 365, 520"
q11,"your answer: XRD, TEM, HRTEM, EDX, UV-vis, XPS, FTIR, PL, ESR, Mott-Schottky plots"
q12,"your answer: 

1. Co(NO3)2·6H2O, 2.183 g
2. Al(NO3)3·9H2O, 0.938 g
3. Cs2CO3, 0.817 g
4. PbBr2, 0.132 g"
q13,your answer: CsPbBr3/CoAl-LDH composite
q14,your answer: Photocatalytic
q15,your answer: 8 mg
q16,"your answer: 300, None, 420"
q17,your answer: 41.2
q18,your answer: 4
q19,your answer: Ethyl acetate (EA) with 100 μL of deionized water
q20,your answer: 51.9
q21,your answer: 7.6
q22,your answer: 1
q23,your answer: 0.58
